id;PERSONAJE;ACTORES;FullName;SubTitle;LINKS;TEMPORADA1;TEMPORADA2;TIPO;esferacoronas;deleted;esferas;esferastype;esferaid;esferalevels;initialChar;RELACIONES;IMAGENES;circulo;PERSONAJE2;Body;TEMPORADA3;Body3;esferalevels3;initialChar3;IMAGENES3;PERSONAJE3;SubTitle3;TIPO3;esferacoronas3;esferas3;esferastype3;RELACIONES3
0;Aldonza de Ivorra;Blanca Espino;Aldonza Roig e Iborra (Aldonza de Ivorra);Noble catalana de Cervera. Amante de Fernando de Aragón y madre de dos de sus hijos.;;;21;Corte;castilla;;3;a;50;3;50;Fernando II de Aragón;aldonza.jpg;3;Aldonza de Ivorra;Aldonza mantiene una relación amorosa con Fernando antes que éste se case con Isabel. Sabe de su carácter mujeriego, de hecho él ya ha tenido un hijo con otra noble de la corona. Y acepta que su amado se casará de acuerdo a los intereses políticos de su padre, Juan II de Aragón.\n\r\n\rTras conocer que la esposa escogida para Fernando es la princesa de Castilla, Aldonza, enamorada e intrépida, acompaña a Fernando durante un largo tramo de su viaje a Valladolid.\n\r\n\rSe dice que cabalgó a su lado vestida de hombre y que, en el trayecto, engendró a su hijo varón. Su presencia es cuestionada por los consejeros de la princesa que les reciben a medio camino. Es entonces cuando la joven no tiene más remedio que despedirse de Fernando y regresar a su hogar.\n\r\n\rAldonza tiene un hijo, Alfonso de Aragón, y luego otra hija de Fernando, Juana. A pesar de estar casado con Isabel, Fernando siguió teniendo aventuras fuera del matrimonio.;;;3;;;Aldonza de Ivorra;Noble catalana de Cervera. Amante de Fernando de Aragón y madre de dos de sus hijos.;Corte;castilla;;;
1;Juan II de Aragón;Jordi Banacolocha;Juan II de Aragón;Rey de Aragón;http://www.rtve.es/television/20111219/juan-ii-aragon-interpretado-jordi-banacolocha/483440.shtml;6 - 7 - 8 - 10 - 11 - 12 - 13;14 - 17 - 18 - 19;Realeza;castilla;;3,11;f,a;44;3;44;Fernando II de Aragón;JUAN-II-ARAGON.jpg;3;Juan II de Aragón;Nació en 1398 en Medina del Campo y fue padre de Fernando II de Aragón, el Católico.\n\r\n\rFue duque de Peñafiel, rey de Navarra desde 1425 y rey de Aragón, de Cerdeña y Sicilia desde 1458. Nació en Medina del Campo en el año 1398 y fue padre de Fernando II de Aragón, el Católico.\n\r\n\rSeguramente fue el rey más longevo de su época, ya que vivió hasta los 82 años. Su característica física principal es que durante años estuvo totalmente ciego por cataratas.\n\r\n\rLa edad avanzada y la ceguera le obligaban a apoyarse en Fernando en todos los sentidos: en política interior, en la guerra y defensa del país, etc.\n\r\n\rTenía una gran confianza en él, cosa que no podía decirse de su primogénito Carlos de Viana, con el que estuvo enfrentado.\n\r\n\rJuan II se hizo operar las cataratas en Lérida y recobró la vista. En cristiano agradecimiento por la cura de su ceguera fundó el Monasterio Jerónimo de Santa Engracia, algo que tiene cierta ironía ya que el médico que hizo posible su curación era judío.\n\r\n\rJuan II trabajó con empeño para propiciar la unión de Castilla y Aragón usando a Fernando como moneda, primero con Beatriz Pacheco, hija del marqués de Villena, y luego con Isabel.\n\r\n\rEsta alianza tan interesada con Castilla -reino con mucho potencial y recursos- perseguía conseguir la ayuda de sus tropas para manejar mejor los conflictos que tenía en su propio reino. Pero para ello 'va estirar més el braç que la màniga', como ya le sucedió pidiendo ayuda a los franceses y prometiéndoles una cantidad insensata de dinero que no pudo devolver.\n\r\n\rJuan II, que era un buen político y buen negociante, también resultó ser un buen concertador de matrimonios. Tuvo el ojo de agasajar con regalos a las personas más determinantes de la corte de Isabel para que diesen buenos informes de Fernando. También consiguió que se nombrara a su hijo Fernando rey de Sicilia, como pura herramienta de propaganda internacional para hacer más atractivo al candidato para Isabel.\n\r\n\rSu hija Leonor, hija de su primer matrimonio, heredó el reino de Navarra y Fernando se hizo con el de Aragón y los condados catalanes.\n\r\n\rMurió por causas naturales en Barcelona el 19 de enero de 1479, a los 81 y 7 meses años de edad, una edad avanzadísima para aquella época. Fue enterrado en el Monasterio de Santa María de Poblet, en Tarragona.;;;3;;;Juan II de Aragón;Rey de Aragón;Realeza;castilla;;;
2;Álvaro de Luna;;Álvaro de Luna;Valido de Juan II de Castilla;;;;Corte;castilla;;15,16;a,a;;;;Isabel de Portugal, Enrique IV, Gonzalo Chacón, Juan II de Castilla, María de Aragón;alvaro_luna.jpg;1b;Álvaro de Luna;Noble castellano, nació en 1390 en Cañete (Cuenca). Era valido de Juan II de Castilla y fue el mentor de Gonzalo Chacón.\n\r\n\rJuan II de Castilla confió desde bien joven en el criterio de este hijo bastardo de un sobrino del papa Benedicto XIII. En la Corte, comenzó de paje pero pronto pasó a ser el caballero en el que más confiaba el rey en la toma de decisiones. Su fidelidad, talento y audacia militar protegieron a Juan II de las ambiciones de los nobles, a los que organizó por turnos en el Consejo Real de modo que se disminuían las posibilidades de que se desatara una guerra civil.\n\r\n\rPor las presiones de los nobles, Juan II le apartó y desterró durante un tiempo, pero eso no impidió que cuando el monarca se vio sitiado por los nobles Álvaro de Luna acudiera en su ayuda, aunque no sirvió de mucho.\n\r\n\rEl rey reforzó su autoridad casándolo con Elvira de Portocarrero y le da el señorío de Gormaz.\n\r\n\rMientras tanto, Castilla es gobernada por Enrique IV con Pacheco y con Juan de Navarra padre de Blanca y la influencia de los Infantes de Aragón. Pero al tercer año, Álvaro de Luna reúne tropas, abandona el destierro y en Olmedo (1445) gana la batalla. Para entonces, la madre de Enrique IV ya había muerto envenenada tres meses antes. Álvaro de Luna como valido del rey y Pacheco como valido del príncipe, ejercieron la soberanía en nombre del monarca.\n\r\n\rAnte el rechazo de Enrique IV a Blanca de Navarra, Álvaro de Luna insta a Juan II a contraer nuevo matrimonio para tener un heredero y organiza su boda con Isabel de Portugal: si Enrique no tiene herederos, los Trastámara acaban con él como dinastía.\n\r\n\rCuriosamente, Álvaro caerá en desgracia ante su querido rey por maniobras de Isabel de Braganza. Es entonces, en abril de 1453, cuando el rey autoriza a detener a su valido Será juzgado precipitadamente y ajusticiado el 3 de Junio de 1453.\n\r\n\rMurió dignamente, a los 63 años, pidiendo al pie del cadalso un poco de vino de la tierra y unas cerezas. Y diciendo la siguiente frase a un caballerizo de Enrique: 'Te ruego que digas al príncipe, mi señor, que dé mejor galardón a sus criados que el rey mi señor mandó dar a mí'.\n\r\n\rEl 13 de noviembre de 1453 nació Alfonso. Castilla tiene asegurada la sucesión. Es un éxito post-mortem del Álvaro de Luna, que tanto defendió a su rey.;;;;;;Álvaro de Luna;Valido de Juan II de Castilla;Corte;castilla;;;
3;Isabel de Portugal;Clara Sanchís;Isabel de Portugal y Castilla;Reina consorte de España y emperatriz consorte del Sacro Imperio Romano Germánico;http://www.rtve.es/television/20110822/isabel-portugal-interpretada-clara-sanchis/456573.shtml;1 - 2 - 4 - 5 - 7 - 9 - 10;17;Realeza;castilla;;2,4,6,14,16,20,29;f,a,a,14,f,f,F;15;3;15;Isabel I de Castilla, Alfonso de Castilla, Juan II de Castilla, Gonzalo Chacón, Beatriz de Bobadilla;isabel_portugal.jpg;1;Isabel de Portugal;Isabel de Portugal fue la segunda esposa del rey Juan II de Castilla y madre de los infantes Isabel y Alfonso. Fue Infanta de Portugal y reina consorte de Castilla.\n\r\n\rEl valido de Juan II, Álvaro de Luna, la eligió como segunda esposa del rey de Castilla no solo por su juventud y su belleza, sino también porque volviendo la mirada a Portugal se castigaba a Aragón por sus continuas intromisiones en la política castellana. Como regalo de bodas, Isabel recibió el señorío de las villas de Arévalo y Madrigal.\n\r\n\rIsabel de Portugal era una madre entregada con elevados valores morales y grandes expectativas para sus hijos, a los que cuidó personalmente a pesar de la magnitud de la casa. La Reina Isabel se ocupaba de enseñar prácticas piadosas a sus hijos ya que profesaba una sincera fe cristiana.\n\r\n\rProbablemente instigada por los nobles, Isabel fue esencial para que Juan II permitiera detener y ejecutar sumariamente a don Álvaro de Luna, el hombre que la hizo reina.\n\r\n\rIsabel quería desplazar al valido del favor del rey, para ser la única que mandase sobre Juan II. Más tarde, enloquecida de remordimientos y dolor, buscó en Arévalo refugio apacible, llevándose allí a sus hijos.\n\r\n\rEl empujón definitivo hacia su locura lo recibió cuando Isabel y Alfonso le fueron arrebatados por orden de su hijastro, Enrique IV, pero por mandato de Juana de Avis.\n\r\n\rIsabel de Portugal tuvo muy poca relación con el hermanastro de sus hijos. Su historia, a partir de la separación de sus hijos, fue un continuo empeoramiento de su enfermedad. Falleció en Arévalo el día 15 de agosto de 1496 y fue sepultada en la Cartuja de Miraflores junto a su esposo, Juan II de Castilla, y su hijo, el infante Alfonso de Castilla.;999;Isabel de Portugal fue la segunda esposa del rey Juan II de Castilla y madre de los infantes Isabel y Alfonso. Fue Infanta de Portugal y reina consorte de Castilla.\n\r\n\rEl valido de Juan II, Álvaro de Luna, la eligió como segunda esposa del rey de Castilla no solo por su juventud y su belleza, sino también porque volviendo la mirada a Portugal se castigaba a Aragón por sus continuas intromisiones en la política castellana. Como regalo de bodas, Isabel recibió el señorío de las villas de Arévalo y Madrigal.\n\r\n\rIsabel de Portugal era una madre entregada con elevados valores morales y grandes expectativas para sus hijos, a los que cuidó personalmente a pesar de la magnitud de la casa. La Reina Isabel se ocupaba de enseñar prácticas piadosas a sus hijos ya que profesaba una sincera fe cristiana.\n\r\n\rProbablemente instigada por los nobles, Isabel fue esencial para que Juan II permitiera detener y ejecutar sumariamente a don Álvaro de Luna, el hombre que la hizo reina.\n\r\n\rIsabel quería desplazar al valido del favor del rey, para ser la única que mandase sobre Juan II. Más tarde, enloquecida de remordimientos y dolor, buscó en Arévalo refugio apacible, llevándose allí a sus hijos.\n\r\n\rEl empujón definitivo hacia su locura lo recibió cuando Isabel y Alfonso le fueron arrebatados por orden de su hijastro, Enrique IV, pero por mandato de Juana de Avis.\n\r\n\rIsabel de Portugal tuvo muy poca relación con el hermanastro de sus hijos. Su historia, a partir de la separación de sus hijos, fue un continuo empeoramiento de su enfermedad. Falleció en Arévalo el día 15 de agosto de 1496 y fue sepultada en la Cartuja de Miraflores junto a su esposo, Juan II de Castilla, y su hijo, el infante Alfonso de Castilla.;3;1;isabel_de_portugal.jpg;Isabel de Portugal y Castilla;Reina consorte de España y emperatriz consorte del Sacro Imperio Romano Germánico;Realeza;castilla;2,6,4,9;f,a,a,a;Isabel la Católica, Beatriz de Bobadilla, Gonzalo Chacón, Andres Cabrera
4;Juan II de Castilla;;Juan II de Castilla;Rey de Castilla;;;;Realeza;castilla;;;;;3;;Enrique IV, Isabel I de Castilla, Alfonso de Castilla, Isabel de Portugal, María de Aragón;juan_castilla.jpg;1;Juan II de Castilla;Nació en Toro en 1405 y fue padre de Enrique IV y los infantes Isabel y Alfonso, estos dos últimos hijos de su segunda esposa Isabel de Portugal.\n\r\n\rJuan II era un rey poco apegado a su oficio. Tanto él como su hijo Enrique IV, fruto de su matrimonio con su primera mujer María de Aragón, eran más amantes de tertulias, conciertos, poesía y caza que de ejercer su poder.\n\r\n\rLa situación en Castilla que se encontró Juan II era la siguiente:\n\r\n\rPor un lado, se estaba iniciando la conquista de Canarias y los contactos con el lejano oriente, aunque había cesado la Reconquista del sur de la península.\n\r\n\rAdemás, el reparto de la riqueza establecía que la Corona, la nobleza y la Iglesia se divisiesen a partes iguales los tributos.\n\r\n\rLa nobleza de aquel tiempo tenía la capacidad de quitar o dotar de poder al rey a cambio de sus mercedes. Algunos nobles llegaron a instigar el asesinato de Pedro I el Cruel que propició el ascenso al poder de la dinastía Trastámara, a la que pertenece Juan II además de sus hijos Enrique IV e Isabel.\n\r\n\rLa política interior se basaba en matrimonios, esencialmente con Portugal. El clero estaba formado por poderosos señores feudales, con tierras, integrados en la nobleza. Algunos poseían hasta ejército propio.\n\r\n\rSu reinado fue una continua muestra de debilidad en relación a los nobles, de quienes era protegido, aunque no siempre con éxito, dados sus destierros y su final.\n\r\n\rTraicionó a su valido instigado por su esposa y los nobles y la ejeccución de don Álvaro de Luna le obsesionó y hundió.\n\r\n\rFalleció apenas un año después de la muerte de Álvaro de Luna y en su lecho de muerte se le oyó decir: 'Naciera yo hijo de un labrador para ser fraile del Abrojo y no rey de Castilla'.\n\r\n\rAl morir dejó un testamento minucioso. A Isabel y Alfonso los dejó bajo la tutela de dos grandes hombres de Iglesia: Fray Lope Barrientos, obispo de Cuenca, y Gonzalo de Illescas, prior de Guadalupe.\n\r\n\rMucho nombre y oropel, pero poca presencia. Ya antes, por ello, había colocado al lado de Isabel a Gonzalo Chacón, mano derecha de Álvaro de Luna, como persona más cercana a la infanta y luego a Alfonso.;;;3;;;Juan II de Castilla;Rey de Castilla;Realeza;castilla;;;
5;María de Aragón;;María de Aragón;Reina de Castilla;;;;Realeza;castilla;;3,16,17,44;f,f,f,f;;;;Enrique IV, Juan II de Castilla;maria_aragon.jpg;1;María de Aragón;Nacida en Castilla en 1396, era hija del rey de Aragón Fernando I de Antequera y de Leonor de Alburquerque. Pertenecía a la Casa de Trastámara y fue prometida en matrimonio con Juan II de Castilla cuando éste aún era menor de edad. Eran primos hermanos y sus familias decidieron casarlos como una estrategia para unificar y controlar el poder de los reinos de la península.\n\r\n\rContrajeron matrimonio en 1418 en Medina del Campo y tuvieron cuatro hijos: Catalina, Leonor, Enrique IV y María.\n\r\n\rEstaba muy unida a sus hermanos, los infantes de Aragón, lo que en ocasiones le causó problemas con su marido, por sus ambiciones de poder.\n\r\n\rA su muerte, fue enterrada en el monasterio de Guadalupe en el año 1445.;;;;;;María de Aragón;Reina de Castilla;Realeza;castilla;;;
6;Pedro de Castilla;Alberto Berzal;Pedro Fonseca;Sobrino de Monseñor de Fonseca y biznieto bastardo de Pedro I 'el Cruel';;4 - 5 - 6 - 13;2;Nobleza;castilla;;24,25;a,a;51;;;Monseñor de Fonseca, Juana de Avis;pedro_fonseca.jpg;;Pedro de Castilla;Hijo de Pedro de Castilla y Salazar y Beatriz Fonseca, era sobrino del arzobispo Fonseca. Era biznieto bastardo de Pedro I el Cruel, cuya dinastía perdió la corona tras su muerte al pasar a las manos de los Trastámara.\n\r\n\rEn plena guerra civil entre enriqueños y alfonsinos, concrectamente en 1467, Pedro de Castilla pasó a ser el Maestresala de la reina Juana de Portugal cuando ésta se instaló en el castillo de Alaejos. Enrique IV la dejó bajo la protección del arzobispo Fonseca. Su hermana Beatriz Fonseca, la madre de Pedro, se convirtió entonces en dama de cortejo en su nueva residencia, que temía más de prisión que de hogar.\n\r\n\rPedro y Juana iniciaron una relación amorosa que fue más allá de la simple aventura extraconyugal. La reina llegó a quedar embarazada de su amante, un escándalo que volvió a sacar a relucir las dificultades de Enrique IV para tener descendencia. La pareja de enamorados protagonizó una sonada huida del castillo cuando Juana fue reclamada por su marido para que le acompañara a los Pactos de Guisando.\n\r\n\rPedro de Castilla y Juana de Portugal se refugian en Buitrago del Lozoya, bajo la protección de los Mendoza, en concreto de íñigo López de Mendoza, que había estado al cargo de la pequeña Juana, la Beltraneja, durante buena parte de la guerra civil. Allí Juana tiene a dos gemelos de su relación con Pedro: Pedro Apóstol de Castilla y Portugal y Andrés de Castilla y Portugal.\n\r\n\rEs un hombre que sabe que su destino hubiera sido otro si los Trastamara no hubieran tomado la corona derramando la sangre de su antepasado Pedro I el Cruel. Ahora es un sirviente más de su tío, un arzobispo colaborador del rey, al que detesta en silencio.\n\r\n\rJuana encontró en Pedro a un hombre que, sin conocerla, hace declaración de nobleza y de hombría, de revelarse ante el poder tenga las consecuencias que tenga. Poco a poco se fue enganchando a Pedro, probablemente el hombre al que más la quiso.;;;;;;Pedro de Castilla;Sobrino de Monseñor de Fonseca y biznieto bastardo de Pedro I 'el Cruel';Nobleza;castilla;;;
7;Monseñor de Fonseca;Arturo Querejeta;Monseñor de Fonseca;Arzobispo de Sevilla;;1 - 2 - 3 - 4 - 5;;Iglesia;castilla;1;;;;;;Enrique IV, Alfonso Carrillo, Juan Pacheco, Pedro de Castilla;monsenor_fonseca.jpg;;Monseñor de Fonseca;Nació en Zamora en 1418 y era el segundo hijo de Juan Alonso de Ulloa, consejero real de Juan II de Castilla. Hermano de Beatriz Fonseca y, por tanto, tío de Pedro de Castilla y Fonseca.\n\r\n\rCuando ya era arzobispo de Sevilla, casó a Enrique IV en segundas nupcias con Juana de Portugal en 1454. En 1460, movió los hilos con el rey y con el Papa para que su sobrino-nieto Alonso de Fonseca y Acevedo fuera nombrado Arzobispo de Santiago de Compostela.\n\r\n\rEn 1464, el arzobispo de Sevilla acudió a Burgos a la reunión nobiliaria. Sin embargo, cuando estalló la guerra civil, Fonseca es un hombre leal a Enrique IV.;;;;;;Monseñor de Fonseca;Arzobispo de Sevilla;Iglesia;castilla;;;
8;Pedro de Peralta;Ernesto Arias;Pedro Peralta;Noble navarro, también conocido como Mosén Pierres de Peralta 'el joven';;1 - 6 - 7 - 8 - 11 - 12 - 13;14 - 15 - 17 - 18 - 19 - 20 - 21 - 22 - 23 - 26;Nobleza;castilla;;1,3,18,20,44;1,a,e,a,a;11;2;11;Juan II de Aragón, Alfonso Carrillo, Antonio Véneris, Beatriz Pacheco;PEDRO-PERALTA.jpg;;Pedro de Peralta;Fue un político con visión, astuto, leal a Juan II de Aragón y destaca en la Guerra Civil de Navarra como militar, donde se convirtió en el mejor diplomático al servicio de Juan II.\n\r\n\rSus lazos con Castilla eran estrechos gracias a su relación de familia y amistad con Carrillo, son consuegros: su hija Juana se casó con Troilo, el hijo natural del arzobispo, en 1467.\n\r\n\rPara poner fin a la guerra civil en Castilla que enfrentaba a enriqueños y antienriqueños, dos legados internacionales fueron enviados como mediadores: Pierres de Peralta por Aragón y el nuncio Antonio de Venéris por Roma. Finalmente las dos partes llegaron a firmar en Guisando la paz, aunque no duró demasiado.\n\r\n\rJuan II otorgó a Peralta plenos poderes para negociar el matrimonio de su hijo Fernando con Beatriz Pacheco, la hija del marqués de Villena. El plan era que una alianza con Castilla le ayudaría en el frente catalán y en su guerra contra Francia.\n\r\n\rPero una vez en Castilla, el diplomático mostró una gran altura de miras al llegar a la conclusión de que el príncipe aragonés debía apuntar a una esposa con mayores perspectivas: la princesa Isabel.\n\r\n\rPeralta no dudó en sobornar y agasajar a quien fuera necesario, entre ellos los consejeros de la joven Chacón y Cárdenas, para conseguir que ella accediera a dicho matrimonio. De manera paralela, Peralta siguió haciendo el doble juego con Pacheco para que éste no desbaratara tan importantes planes. La boda de Fernando e Isabel fue, en buena parte, éxito suyo. Y con ellos, siempre mantendrá una estrecha relación .\n\r\n\rTras la muerte de Paulo II, papa bastante contrario a los intereses de Juan II, Peralta fue enviado a Roma para que hablara en persona con su sucesor, Sixto IV. El diplomático le vendió la idea de que la influencia de Aragón en los territorios italianos podía ser de gran interés para él. Además, mostrando de nuevo su visión de futuro, trajo fondos de unas mermadas arcas de la corona aragonesa para seguir financiando la cruzada contra los turcos. El papa Sixto IV se mostró muy satisfecho y no tardó en dispensar la bula papal, negada por su predecesor, que legitimó así el matrimonio de Fernando e Isabel.\n\r\n\rEn 1474, Peralta acudió al auxilio de su soberano Juan II, que estaba sitiado en Perpiñán por las tropas de Luis XI. Se disfrazó de monje franciscano para entrar en la plaza asediada y, una vez dentro, lideró la resistencia contra los franceses.;;;2;;;Pedro de Peralta;Noble navarro, también conocido como Mosén Pierres de Peralta 'el joven';Nobleza;castilla;;;
9;Fernando II de Aragón;Rodolfo Sancho;Fernando el Católico;Rey de Aragón, Castilla, Sicilia y Nápoles;http://www.rtve.es/television/20110812/fernando-aragon-interpretado-rodolfo-sancho/454099.shtml;1 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13;14 - 15 - 16 - 17 - 18 - 19 - 20 - 21 - 22 - 23 - 24 - 25 - 26;Realeza;castilla;;1,2,4,5,7,8,9,10,11,13,16,18,19,21,23,25,26,31,32,39,40,44,47,48,50;1,f,a,a,f,a,a,a,a,a,f,e,e,e,e,e,e,e,e,a,a,f,e,e,a;3;1;3;Isabel I de Castilla, Juan II de Aragón, Gonzalo de Chacón, Aldonza de Ivorra;fernando_aragon.jpg;0b,1b,2b,3;Fernando II de Aragón;Príncipe de Aragón y rey de Sicilia. Nacido en Sos en 1452, fue hijo de Juan II de Aragón y futuro esposo de Isabel de Castilla. Llegó a ser rey de Aragón, de Sicilia, de Nápoles y de Castilla, bajo el nombre de Fernando V.\n\r\n\rEra de mediana estatura, algo más alto que Isabel. Con una presencia galante. No era rubio como ella sino de pelo muy negro. Destacaba su faz risueña.\n\r\n\rEntre Fernando e Isabel se daban muchas similitudes. Los padres y hermanastros de ambos eran rivales y además los dos eran hijos de una segunda esposa de un rey. En el caso de Fernando se trataba de Juana Enríquez, que murió en 1468 a causa de un terrible cáncer.\n\r\n\rDesde su niñez fue criado en guerras y en política. En guerras, arriesgó su vida en múltiples situaciones y eso le hizo valiente. Muy pronto llegó a ser un experto en la lucha en batallas y comandando tropas. La coronación en solitario de Isabel fue probablemente el motivo de la mayor crisis de pareja entre Isabel y Fernando.\n\r\n\rEra tacaño, en casa y en el gobierno. Su faceta de jugador de ajedrez, de tablero o de pelota tampoco complacía a sus contemporáneos, que opinaban que dedicaba al juego más tiempo del que debía. Pero hay un defecto que parecía más grave que los demás: la lujuria.\n\r\n\rUna de sus cualidades destacadas era su amor a la familia. Sus relaciones con su padre siempre fueron excelentes.\n\r\n\rSi bien era un hombre de acción también era un buen político y un negociador nato, además de ser un comunicador muy convincente, por su forma amigable de hablar.\n\r\n\rPero era inflexible en sus decisiones. Y cruel si consideraba necesario serlo. Fernando se adaptó muy bien a las costumbres de la corte castellana, aunque iba y venía de Aragón para apoyar a Juan II de Aragón en todas sus empresas.\n\r\n\rDurante la batalla de Lucena, en la Guerra de Granada, se labró una imagen de hombre de Estado bajo el modelo de príncipe del Renacimiento. Era rey-soldado y su papel en el campo de batalla fue tan crucial en la victoria como era la labor de Isabel como recaudadora de dinero para llevar a cabo su empresa.;27 - 28 - 29 - 30 - 31 - 32 - 33 - 34;Príncipe de Aragón y rey de Sicilia. Nacido en Sos en 1452, fue hijo de Juan II de Aragón y futuro esposo de Isabel de Castilla. Llegó a ser rey de Aragón, de Sicilia, de Nápoles y de Castilla, bajo el nombre de Fernando V.\n\r\n\rEra de mediana estatura, algo más alto que Isabel. Con una presencia galante. No era rubio como ella sino de pelo muy negro. Destacaba su faz risueña.\n\r\n\rEntre Fernando e Isabel se daban muchas similitudes. Los padres y hermanastros de ambos eran rivales y además los dos eran hijos de una segunda esposa de un rey. En el caso de Fernando se trataba de Juana Enríquez, que murió en 1468 a causa de un terrible cáncer.\n\r\n\rDesde su niñez fue criado en guerras y en política. En guerras, arriesgó su vida en múltiples situaciones y eso le hizo valiente. Muy pronto llegó a ser un experto en la lucha en batallas y comandando tropas. La coronación en solitario de Isabel fue probablemente el motivo de la mayor crisis de pareja entre Isabel y Fernando.\n\r\n\rEra tacaño, en casa y en el gobierno. Su faceta de jugador de ajedrez, de tablero o de pelota tampoco complacía a sus contemporáneos, que opinaban que dedicaba al juego más tiempo del que debía. Pero hay un defecto que parecía más grave que los demás: la lujuria.\n\r\n\rUna de sus cualidades destacadas era su amor a la familia. Sus relaciones con su padre siempre fueron excelentes.\n\r\n\rSi bien era un hombre de acción también era un buen político y un negociador nato, además de ser un comunicador muy convincente, por su forma amigable de hablar.\n\r\n\rPero era inflexible en sus decisiones. Y cruel si consideraba necesario serlo. Fernando se adaptó muy bien a las costumbres de la corte castellana, aunque iba y venía de Aragón para apoyar a Juan II de Aragón en todas sus empresas.\n\r\n\rDurante la batalla de Lucena, en la Guerra de Granada, se labró una imagen de hombre de Estado bajo el modelo de príncipe del Renacimiento. Era rey-soldado y su papel en el campo de batalla fue tan crucial en la victoria como era la labor de Isabel como recaudadora de dinero para llevar a cabo su empresa.;1;2;fernando.jpg;Fernando el Católico;Rey de Aragón, Castilla, Sicilia y Nápoles;Realeza;castilla;2,39,71,54,55,56,57,15,58,26,59,60,5,12,6,9,4,29,53,64,66,68,69,60,70;f,a,f,f,f,f,f,f,a,a,a,e,a,a,a,a,a,a,a,e,e,a,a,a,a;Isabel la Católico, Cristobal Colón, Isabel de Aragón, María de Aragón, Juan de Aragón, Juana I de Castilla, Catalina de Aragón, Isabel de Portugal, Manuel I de Aragón, Juan de Portugal, Margarita de Austria, Felipe el Hermoso, Gonzalo de Córdoba, Hernando de Talavera, Beatriz de Bobadilla, Andrés Cabrera, Gonzalo Chachón, Beatriz de Avis, Alejandro VI, Carlos VIII, Luis XII, Boyl, Cisneros, Colon, Fuensalida
